time,source,dest,protocol,size,description,website
23.701930662,146.75.29.44,172.28.0.2,TCP,1514,443 → 54508 [ACK] Seq=94149 Ack=1859 Win=524288 Len=1448 TSval=3377887896 TSecr=755479650 [TCP segment of a reassembled PDU],weather.com
23.701935942,172.28.0.2,146.75.29.44,TCP,66,54508 → 443 [ACK] Seq=1859 Ack=95597 Win=69888 Len=0 TSval=755479653 TSecr=3377887896,weather.com
23.701984263,34.233.149.171,172.28.0.2,TLSv1.2,104,Application Data,weather.com
23.701988310,172.28.0.2,34.233.149.171,TCP,66,34264 → 443 [ACK] Seq=16988 Ack=350787 Win=224768 Len=0 TSval=2094563100 TSecr=1598032965,weather.com
23.701997277,146.75.29.44,172.28.0.2,TCP,1122,"443 → 54508 [PSH, ACK] Seq=95597 Ack=1859 Win=524288 Len=1056 TSval=3377887896 TSecr=755479650 [TCP segment of a reassembled PDU]",weather.com
23.701999972,172.28.0.2,146.75.29.44,TCP,66,54508 → 443 [ACK] Seq=1859 Ack=96653 Win=72832 Len=0 TSval=755479653 TSecr=3377887896,weather.com
23.702006044,146.75.29.44,172.28.0.2,TCP,1514,443 → 54508 [ACK] Seq=96653 Ack=1859 Win=524288 Len=1448 TSval=3377887896 TSecr=755479650 [TCP segment of a reassembled PDU],weather.com
23.702008298,172.28.0.2,146.75.29.44,TCP,66,54508 → 443 [ACK] Seq=1859 Ack=98101 Win=75776 Len=0 TSval=755479653 TSecr=3377887896,weather.com
23.702013948,146.75.29.44,172.28.0.2,TCP,1514,443 → 54508 [ACK] Seq=98101 Ack=1859 Win=524288 Len=1448 TSval=3377887896 TSecr=755479650 [TCP segment of a reassembled PDU],weather.com
23.702016303,172.28.0.2,146.75.29.44,TCP,66,54508 → 443 [ACK] Seq=1859 Ack=99549 Win=78592 Len=0 TSval=755479653 TSecr=3377887896,weather.com
23.702022164,146.75.29.44,172.28.0.2,TLSv1.3,1514,Application Data [TCP segment of a reassembled PDU],weather.com
23.702024588,172.28.0.2,146.75.29.44,TCP,66,54508 → 443 [ACK] Seq=1859 Ack=100997 Win=81536 Len=0 TSval=755479653 TSecr=3377887896,weather.com
23.702030189,146.75.29.44,172.28.0.2,TCP,1514,443 → 54508 [ACK] Seq=100997 Ack=1859 Win=524288 Len=1448 TSval=3377887896 TSecr=755479650 [TCP segment of a reassembled PDU],weather.com
23.702032152,172.28.0.2,146.75.29.44,TCP,66,54508 → 443 [ACK] Seq=1859 Ack=102445 Win=84480 Len=0 TSval=755479653 TSecr=3377887896,weather.com
