time,source,dest,protocol,size,description,website
8.496412443,172.28.0.2,35.186.194.58,QUIC,82,"Handshake, DCID=e74fce2ba59ad0f8, SCID=b495e7",github
8.496614872,172.28.0.2,35.186.194.58,QUIC,82,"Handshake, DCID=e74fce2ba59ad0f8, SCID=b495e7",github
8.499408464,185.199.110.154,172.28.0.2,TLSv1.3,183,Application Data,github
8.499428952,172.28.0.2,185.199.110.154,TCP,66,43450 → 443 [ACK] Seq=2959 Ack=509358 Win=654080 Len=0 TSval=3751133690 TSecr=3799368929,github
8.499509753,185.199.110.154,172.28.0.2,TLSv1.3,1514,Application Data,github
8.499515755,172.28.0.2,185.199.110.154,TCP,66,43450 → 443 [ACK] Seq=2959 Ack=510806 Win=657024 Len=0 TSval=3751133690 TSecr=3799368929,github
8.499525874,185.199.110.154,172.28.0.2,TCP,1514,443 → 43450 [ACK] Seq=510806 Ack=2959 Win=524288 Len=1448 TSval=3799368929 TSecr=3751133681 [TCP segment of a reassembled PDU],github
8.499528539,172.28.0.2,185.199.110.154,TCP,66,43450 → 443 [ACK] Seq=2959 Ack=512254 Win=659968 Len=0 TSval=3751133690 TSecr=3799368929,github
8.499537315,185.199.110.154,172.28.0.2,TLSv1.3,1514,Application Data [TCP segment of a reassembled PDU],github
8.499540000,172.28.0.2,185.199.110.154,TCP,66,43450 → 443 [ACK] Seq=2959 Ack=513702 Win=662784 Len=0 TSval=3751133690 TSecr=3799368929,github
8.499547725,185.199.110.154,172.28.0.2,TCP,1514,443 → 43450 [ACK] Seq=513702 Ack=2959 Win=524288 Len=1448 TSval=3799368929 TSecr=3751133681 [TCP segment of a reassembled PDU],github
8.499551251,172.28.0.2,185.199.110.154,TCP,66,43450 → 443 [ACK] Seq=2959 Ack=515150 Win=665728 Len=0 TSval=3751133690 TSecr=3799368929,github
8.499557914,185.199.110.154,172.28.0.2,TCP,1514,443 → 43450 [ACK] Seq=515150 Ack=2959 Win=524288 Len=1448 TSval=3799368929 TSecr=3751133681 [TCP segment of a reassembled PDU],github
8.499560208,172.28.0.2,185.199.110.154,TCP,66,43450 → 443 [ACK] Seq=2959 Ack=516598 Win=668544 Len=0 TSval=3751133690 TSecr=3799368929,github
8.499566851,185.199.110.154,172.28.0.2,TLSv1.3,194,Application Data,github
8.499569566,172.28.0.2,185.199.110.154,TCP,66,43450 → 443 [ACK] Seq=2959 Ack=516726 Win=668544 Len=0 TSval=3751133690 TSecr=3799368929,github
8.500637457,185.199.110.154,172.28.0.2,TCP,1514,[TCP segment of a reassembled PDU],github
8.500647095,172.28.0.2,185.199.110.154,TCP,66,43450 → 443 [ACK] Seq=2959 Ack=518174 Win=671488 Len=0 TSval=3751133691 TSecr=3799368931,github
8.500714081,185.199.110.154,172.28.0.2,TLSv1.3,464,Application Data,github
8.500719100,172.28.0.2,185.199.110.154,TCP,66,43450 → 443 [ACK] Seq=2959 Ack=518572 Win=674432 Len=0 TSval=3751133691 TSecr=3799368931,github
8.515357679,35.186.194.58,172.28.0.2,QUIC,84,"Handshake, DCID=b495e7, SCID=e74fce2ba59ad0f8",github
8.527840397,142.251.16.94,172.28.0.2,OCSP,798,Response,github
8.527890661,172.28.0.2,142.251.16.94,TCP,66,50996 → 80 [ACK] Seq=433 Ack=733 Win=64128 Len=0 TSval=3195907942 TSecr=1805959859,github
8.528223726,172.28.0.2,142.251.16.94,TCP,66,"50996 → 80 [FIN, ACK] Seq=433 Ack=733 Win=64128 Len=0 TSval=3195907942 TSecr=1805959859",github
8.528271625,142.251.16.94,172.28.0.2,TCP,66,"80 → 50996 [FIN, ACK] Seq=733 Ack=433 Win=524288 Len=0 TSval=1805959859 TSecr=3195907863",github
8.528296021,172.28.0.2,142.251.16.94,TCP,66,50996 → 80 [ACK] Seq=434 Ack=734 Win=64128 Len=0 TSval=3195907943 TSecr=1805959859,github
8.529136178,142.251.16.94,172.28.0.2,TCP,66,80 → 50996 [ACK] Seq=734 Ack=434 Win=524256 Len=0 TSval=1805959861 TSecr=3195907942,github
8.529486547,172.28.0.2,35.186.194.58,QUIC,173,"Protected Payload (KP0), DCID=e74fce2ba59ad0f8",github
8.529569493,172.28.0.2,35.186.194.58,QUIC,109,"Protected Payload (KP0), DCID=e74fce2ba59ad0f8",github
8.529649142,172.28.0.2,35.186.194.58,TLSv1.3,105,Application Data,github
8.530148799,172.28.0.2,35.186.194.58,TLSv1.3,90,Application Data,github
8.530210344,172.28.0.2,35.186.194.58,TCP,66,"46280 → 443 [FIN, ACK] Seq=1718 Ack=8234 Win=64128 Len=0 TSval=2502691696 TSecr=1851768867",github
8.530863644,35.186.194.58,172.28.0.2,TCP,66,443 → 46280 [ACK] Seq=8234 Ack=1694 Win=524192 Len=0 TSval=1851769007 TSecr=2502691696,github
8.531268923,35.186.194.58,172.28.0.2,TCP,66,443 → 46280 [ACK] Seq=8234 Ack=1719 Win=524160 Len=0 TSval=1851769007 TSecr=2502691696,github
8.531297898,35.186.194.58,172.28.0.2,TCP,66,"443 → 46280 [FIN, ACK] Seq=8234 Ack=1719 Win=524288 Len=0 TSval=1851769007 TSecr=2502691696",github
