time,source,dest,protocol,size,description,website
4.373155577,172.28.0.2,142.251.167.99,TLSv1.3,541,Application Data,facebook
4.373475769,142.251.167.99,172.28.0.2,TCP,66,443 → 52486 [ACK] Seq=4289 Ack=727 Win=524224 Len=0 TSval=337376089 TSecr=492372545,facebook
4.373868844,172.28.0.2,142.251.16.94,TCP,66,"50918 → 80 [FIN, ACK] Seq=419 Ack=722 Win=64128 Len=0 TSval=3195893452 TSecr=1805945368",facebook
4.373937973,172.28.0.2,142.251.167.94,TLSv1.3,236,Application Data,facebook
4.374013846,142.251.167.94,172.28.0.2,TCP,66,443 → 43268 [ACK] Seq=4320 Ack=728 Win=524224 Len=0 TSval=2738760432 TSecr=2987587143,facebook
4.374119684,142.251.16.94,172.28.0.2,OCSP,786,Response,facebook
4.374131105,172.28.0.2,142.251.16.94,TCP,66,50916 → 80 [ACK] Seq=419 Ack=721 Win=64128 Len=0 TSval=3195893452 TSecr=1805945369,facebook
4.374293971,142.251.167.99,172.28.0.2,TCP,66,443 → 52486 [ACK] Seq=4289 Ack=897 Win=524032 Len=0 TSval=337376089 TSecr=492372545,facebook
4.374303348,142.251.16.94,172.28.0.2,TCP,66,"80 → 50916 [FIN, ACK] Seq=721 Ack=419 Win=524288 Len=0 TSval=1805945369 TSecr=3195893394",facebook
4.374402534,172.28.0.2,142.251.16.94,TCP,66,"50916 → 80 [FIN, ACK] Seq=419 Ack=722 Win=64128 Len=0 TSval=3195893453 TSecr=1805945369",facebook
4.374487974,142.251.167.99,172.28.0.2,TCP,66,443 → 52486 [ACK] Seq=4289 Ack=1372 Win=523552 Len=0 TSval=337376089 TSecr=492372545,facebook
4.375123476,142.251.16.94,172.28.0.2,TCP,66,80 → 50918 [ACK] Seq=722 Ack=420 Win=524256 Len=0 TSval=1805945370 TSecr=3195893451,facebook
4.375234579,142.251.167.94,172.28.0.2,TCP,66,443 → 43268 [ACK] Seq=4320 Ack=898 Win=524032 Len=0 TSval=2738760433 TSecr=2987587144,facebook
4.375322854,142.251.16.94,172.28.0.2,TCP,66,80 → 50916 [ACK] Seq=722 Ack=420 Win=524256 Len=0 TSval=1805945371 TSecr=3195893452,facebook
4.375801476,172.28.0.2,142.251.167.99,QUIC,173,"Protected Payload (KP0), DCID=e2acc364247a54a1",facebook
4.375955545,172.28.0.2,142.251.167.99,QUIC,107,"Protected Payload (KP0), DCID=e2acc364247a54a1",facebook
4.376096770,172.28.0.2,142.251.167.94,QUIC,173,"Protected Payload (KP0), DCID=ee6aff530b255cbf",facebook
4.376145121,172.28.0.2,142.251.167.94,QUIC,110,"Protected Payload (KP0), DCID=ee6aff530b255cbf",facebook
4.376311152,142.251.167.99,172.28.0.2,QUIC,84,"Handshake, DCID=80420b, SCID=e2acc364247a54a1",facebook
4.385771790,142.251.167.99,172.28.0.2,TLSv1.3,680,"Application Data, Application Data",facebook
4.385805703,172.28.0.2,142.251.167.99,TCP,66,52486 → 443 [ACK] Seq=1372 Ack=4903 Win=64128 Len=0 TSval=492372558 TSecr=337376101,facebook
4.385847091,142.251.167.99,172.28.0.2,TLSv1.3,97,Application Data,facebook
4.385851369,172.28.0.2,142.251.167.99,TCP,66,52486 → 443 [ACK] Seq=1372 Ack=4934 Win=64128 Len=0 TSval=492372558 TSecr=337376101,facebook
4.386357613,172.28.0.2,142.251.167.99,TLSv1.3,97,Application Data,facebook
4.387448913,142.251.167.99,172.28.0.2,TCP,66,443 → 52486 [ACK] Seq=4934 Ack=1403 Win=524256 Len=0 TSval=337376103 TSecr=492372559,facebook
4.389443682,142.251.167.94,172.28.0.2,TLSv1.3,680,"Application Data, Application Data",facebook
4.389495530,172.28.0.2,142.251.167.94,TCP,66,43268 → 443 [ACK] Seq=898 Ack=4934 Win=64128 Len=0 TSval=2987587160 TSecr=2738760447,facebook
4.389692900,142.251.167.94,172.28.0.2,TLSv1.3,97,Application Data,facebook
4.389697368,172.28.0.2,142.251.167.94,TCP,66,43268 → 443 [ACK] Seq=898 Ack=4965 Win=64128 Len=0 TSval=2987587160 TSecr=2738760447,facebook
4.389707968,142.251.167.99,172.28.0.2,QUIC,657,"Protected Payload (KP0), DCID=80420b",facebook
4.389715602,142.251.167.99,172.28.0.2,QUIC,166,"Protected Payload (KP0), DCID=80420b",facebook
4.389719179,142.251.167.99,172.28.0.2,QUIC,68,"Protected Payload (KP0), DCID=80420b",facebook
